master,primitive
19_Slightly Smiling Face,calm
125_Eyes,watching
22_Thinking Face,thinking
5_Grinning Face With Big Eyes,talking
21_Star-Struck,starstruck
20_Hugging Face,warm-hug
90_Smiling Face With Hearts,love
83_Face With Monocle,inspect
123_Backhand Index Pointing Right,point
112_OK Hand,ok
132_Fire,fire
120_Clapping Hands,clap
121_Folded Hands,seal
86_Partying Face,party
62_Grimacing Face,grimace
130_Man Gesturing No,no-gesture
126_Man Shrugging,shrug
128_Man Facepalming,facepalm
29_Persevering Face,persevere
111_Waving Hand,wave
109_Flexed Biceps,flex
124_Raising Hands,raise
73_Face With Head-Bandage,bandage
